,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=1024,0.854,1.093,1.475,1.932,2.537
N=2048,1.817,3.668,6.375,9.929,14.384
N=3072,3.876,9.451,18.016,29.455,44.801
N=4096,7.000,19.530,40.008,66.341,61.210
N=5120,11.708,35.807,74.276,77.165,138.749
N=6144,18.347,59.671,125.689,154.039,176.270
N=7168,27.441,93.708,142.188,238.943,270.221
N=8192,39.747,135.884,207.962,264.171,363.565
