,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=1024,2.531,7.013,13.756,13.576,22.681,21.988,26.838,29.410,33.646
N=2048,14.513,29.407,51.918,76.470,105.479,146.619,191.328,209.420,252.853
N=3072,43.961,82.270,150.616,253.610,379.456,464.998,646.140,701.731,838.271
N=4096,61.117,170.021,353.414,562.240,847.775,1112.567,1476.423,2218.325,3206.030
N=5120,138.534,309.981,719.906,1145.892,1693.753,2650.922,4443.604,6593.088,4244.098
N=6144,173.754,569.977,1151.169,1931.710,3729.817,6734.861,5497.473,6834.425,9032.161
N=7168,269.086,936.895,2034.839,3543.916,7862.725,6887.312,9294.151,13372.512,18737.589
N=8192,355.512,1262.585,2740.980,6799.234,14342.031,10655.191,16787.313,24591.086,29441.247
