,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=1024,0.860,1.081,1.475,1.947,2.519
N=2048,1.796,3.650,6.315,9.919,14.392
N=3072,3.842,9.589,18.245,29.825,44.210
N=4096,6.896,19.530,39.451,67.242,62.033
N=5120,11.859,36.322,74.299,78.230,136.862
N=6144,18.339,59.664,125.678,154.082,173.972
N=7168,27.451,92.539,142.170,242.052,273.782
N=8192,39.766,135.888,210.557,264.224,358.409
