,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=4096,6.909,19.531,39.424,66.411,61.141
N=8192,39.102,137.548,208.010,267.527,363.091
N=12288,121.393,316.322,500.537,736.737,1181.437
N=16384,277.530,544.867,996.896,1802.973,2719.155
N=20480,321.620,926.798,2006.919,3471.974,6482.572
N=24576,644.326,1510.933,3714.628,6922.624,9299.516
N=28672,1001.882,2611.656,5381.052,10411.804,17690.522
N=32768,1098.071,3701.601,9619.276,14789.719,36167.905
