,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=256,0.630,0.589,0.719,0.859,1.021,1.205,1.376,1.534,1.700
N=512,0.829,1.405,2.261,3.314,4.701,5.942,7.208,6.387,7.233
N=768,1.460,3.338,6.228,9.713,8.885,13.262,16.218,14.524,16.668
N=1024,2.569,7.096,13.832,13.512,22.778,21.989,26.913,29.369,34.197
N=1280,4.359,12.877,25.335,29.593,31.332,41.203,46.451,53.507,68.885
N=1536,6.767,21.250,30.963,36.977,48.093,62.858,85.055,95.348,113.878
N=1792,10.314,33.363,47.499,56.724,74.454,94.921,126.365,155.029,167.049
N=2048,14.469,29.413,52.691,77.561,107.463,146.457,191.358,212.740,252.569
