,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=1024,2.538,7.021,13.587,13.766,22.367,21.975,26.849,29.409,33.635
N=2048,14.351,29.371,51.910,77.644,105.458,146.665,191.350,209.372,253.125
N=3072,43.955,82.242,150.602,249.793,379.271,472.154,646.118,704.993,824.669
N=4096,61.039,172.775,353.273,554.140,858.467,1114.387,1500.147,2171.126,3185.582
N=5120,136.582,309.645,719.080,1141.849,1697.952,2670.639,4423.833,6533.793,4181.308
N=6144,175.513,561.038,1164.925,1933.488,3712.207,6723.714,5392.799,6920.732,9322.836
N=7168,269.067,936.541,2005.573,3580.888,7937.440,6799.640,9317.028,13424.474,18711.990
N=8192,356.041,1262.794,2740.508,6785.150,14302.392,10675.143,16687.743,24661.447,29395.031
