,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=1024,0.859,1.077,1.467,1.931,2.553
N=2048,1.809,3.650,6.374,9.901,14.559
N=3072,3.839,9.459,18.000,29.451,44.228
N=4096,6.913,19.819,39.462,66.355,61.215
N=5120,11.691,35.811,74.389,77.198,136.875
N=6144,18.325,59.750,125.675,153.978,173.866
N=7168,27.466,92.479,142.222,238.811,270.118
N=8192,39.226,135.881,210.626,268.200,357.797
