,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=4096,6.895,19.461,39.782,66.976,61.579
N=8192,38.956,135.094,207.490,263.244,356.310
N=12288,121.150,315.210,498.879,733.761,1175.760
N=16384,276.032,543.035,996.762,1803.349,2719.130
N=20480,324.712,926.435,2007.496,3431.415,6480.764
N=24576,641.663,1511.748,3767.749,6822.233,9411.830
N=28672,997.381,2635.596,5421.826,10361.598,18137.447
N=32768,1096.970,3753.297,9637.611,14966.146,36278.762
