,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=4096,6.876,19.695,39.724,67.001,60.849
N=8192,38.923,135.078,207.481,263.310,356.179
N=12288,122.612,315.394,505.430,744.557,1175.829
N=16384,279.662,542.600,996.068,1830.390,2718.504
N=20480,324.282,927.119,2038.889,3472.826,6469.426
N=24576,650.142,1514.926,3716.994,6884.064,9297.331
N=28672,997.397,2596.448,5353.176,10389.103,18179.505
N=32768,1097.219,3699.391,9538.371,14784.046,36254.107
