,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=256,0.635,0.590,0.714,0.865,1.016,1.213,1.372,1.556,1.698
N=512,0.821,1.407,2.269,3.318,4.645,5.979,7.304,6.383,7.344
N=768,1.452,3.328,6.237,9.713,8.748,13.275,16.475,14.682,16.686
N=1024,2.571,7.021,13.642,13.499,22.466,21.994,26.899,29.355,33.641
N=1280,4.360,12.877,25.344,29.562,31.337,40.617,46.453,53.503,68.886
N=1536,6.787,21.266,31.419,36.957,48.093,63.821,85.063,95.347,113.819
N=1792,10.176,32.830,47.481,56.693,74.468,94.939,124.381,155.003,164.356
N=2048,14.486,29.812,51.968,76.354,107.473,146.414,191.362,209.376,248.512
