,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=256,0.642,0.592,0.720,0.860,1.015,1.201,1.369,1.532,1.720
N=512,0.815,1.406,2.290,3.322,4.648,5.982,7.227,6.391,7.229
N=768,1.464,3.334,6.219,9.844,8.771,13.273,16.436,14.701,16.471
N=1024,2.550,7.014,13.821,13.684,22.447,21.992,26.893,29.370,33.648
N=1280,4.349,12.865,25.359,29.985,31.297,40.655,46.466,53.507,68.876
N=1536,6.879,21.550,30.959,37.507,48.087,63.863,85.036,95.322,115.747
N=1792,10.173,33.358,47.510,56.880,74.461,94.904,124.400,155.005,164.346
N=2048,14.496,29.420,51.993,76.370,105.797,146.516,191.326,212.837,249.034
