,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=1024,2.565,7.015,13.752,13.591,22.372,21.992,26.859,29.406,33.642
N=2048,14.548,29.393,51.897,76.484,105.460,148.846,191.337,212.781,249.007
N=3072,43.955,83.437,150.592,253.626,379.470,465.210,646.408,711.487,825.410
N=4096,61.056,172.900,353.590,552.896,847.586,1116.414,1493.723,2191.066,3189.210
N=5120,136.629,309.491,719.501,1158.904,1693.053,2658.156,4430.744,6552.097,4176.518
N=6144,175.678,560.948,1150.921,1929.588,3715.569,6702.325,5399.464,6803.185,9201.239
N=7168,269.079,936.206,2005.653,3556.484,7849.614,6798.520,9332.762,13420.889,18759.075
N=8192,356.519,1260.754,2744.362,6844.718,14253.107,10667.847,16714.528,24662.829,29587.230
