,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=1024,6.829,10.380,14.084,11.781,14.234,13.036,14.633,13.116,13.482
N=2048,19.830,21.150,22.381,24.142,26.675,29.053,30.473,31.247,30.421
N=3072,37.818,32.558,37.752,42.964,68.001,77.264,80.081,82.279,96.648
N=4096,41.811,47.094,83.247,91.983,131.646,160.329,174.445,217.907,200.723
N=5120,63.762,102.785,115.902,163.634,223.205,302.028,343.351,375.600,364.045
N=6144,79.917,136.082,194.158,285.752,377.389,501.259,553.777,735.958,689.866
N=7168,119.185,216.960,303.946,415.274,599.617,718.588,1029.870,1058.057,983.832
N=8192,202.499,289.357,460.977,675.059,856.574,1355.072,1449.083,1452.427,1407.639
