,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=4096,21.811,32.392,42.930,53.702,41.985
N=8192,125.412,191.267,188.085,209.341,200.830
N=12288,286.894,379.069,469.137,521.890,637.099
N=16384,706.625,1036.171,1082.120,1283.260,1375.522
N=20480,1282.754,1908.889,2182.009,2496.797,2602.954
N=24576,2327.520,3237.343,3545.159,4012.457,4517.478
N=28672,3597.425,5230.558,5720.631,6378.028,6958.438
N=32768,5582.818,7552.692,8287.944,9284.857,10877.206
