,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=1024,6.809,10.301,14.079,11.807,14.253,13.012,14.481,13.267,13.301
N=2048,19.836,21.356,22.360,24.157,26.638,29.661,30.395,31.339,30.534
N=3072,37.824,32.927,37.769,42.961,68.436,79.495,80.979,82.671,96.801
N=4096,41.898,47.142,82.946,94.028,131.596,161.686,171.859,207.108,199.025
N=5120,62.980,103.043,115.567,166.039,221.274,302.483,354.484,372.324,362.954
N=6144,79.916,138.080,197.102,283.353,377.292,501.639,561.201,742.687,701.840
N=7168,118.540,215.130,301.180,417.364,596.927,737.396,1032.920,1060.552,982.185
N=8192,203.016,290.048,458.202,676.313,859.410,1351.169,1453.752,1445.995,1407.829
