,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=1024,4.166,4.617,5.539,6.097,6.935
N=2048,8.742,11.486,14.260,17.190,19.808
N=3072,14.714,20.263,26.384,31.982,37.792
N=4096,21.664,32.558,42.810,53.787,42.061
N=5120,31.357,48.483,65.898,54.004,63.301
N=6144,44.553,70.628,92.137,78.345,79.861
N=7168,59.238,95.610,96.409,111.529,119.726
N=8192,125.774,191.315,188.323,209.448,201.394
