,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=1024,4.219,4.641,5.534,6.096,6.855
N=2048,8.663,11.617,14.307,17.353,20.054
N=3072,14.681,20.298,26.104,32.005,37.813
N=4096,21.624,32.206,42.953,53.043,41.544
N=5120,31.799,48.258,65.466,54.640,64.582
N=6144,43.208,69.395,92.062,78.934,80.155
N=7168,60.575,94.344,95.957,112.120,119.253
N=8192,125.499,191.718,187.960,209.796,202.860
