,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=4096,21.598,32.582,42.971,54.696,41.604
N=8192,124.402,191.524,186.648,208.290,202.733
N=12288,284.300,378.886,466.147,522.681,637.958
N=16384,705.918,1024.956,1076.612,1286.627,1376.092
N=20480,1270.021,1842.943,2179.509,2474.367,2594.420
N=24576,2383.026,3233.495,3546.892,4013.184,4514.687
N=28672,3596.292,5185.603,5718.459,6333.588,6964.566
N=32768,5560.642,7734.851,8324.040,9277.747,10874.085
