,d=2.00%,d=4.00%,d=6.00%,d=8.00%,d=10.00%
N=4096,21.761,32.610,43.904,54.317,41.215
N=8192,123.732,190.603,186.618,208.765,203.216
N=12288,286.057,380.260,468.461,528.814,639.444
N=16384,708.976,1059.579,1077.024,1307.234,1377.151
N=20480,1274.621,1847.924,2181.956,2466.565,2589.295
N=24576,2326.284,3327.777,3547.749,4007.983,4536.378
N=28672,3574.768,5303.224,5733.064,6368.076,6992.380
N=32768,5627.557,7713.019,8360.964,9279.429,10879.341
