,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=1024,6.913,10.414,14.068,11.816,14.443,13.033,14.476,13.256,13.317
N=2048,19.594,21.114,22.382,24.413,26.600,29.315,30.410,30.988,30.367
N=3072,37.811,32.940,38.843,43.031,70.040,76.933,79.645,84.706,96.822
N=4096,42.738,47.194,82.897,91.357,134.405,161.158,173.167,205.566,197.312
N=5120,62.913,102.325,114.558,163.823,222.483,301.266,346.320,381.545,365.070
N=6144,80.099,136.833,197.900,283.828,380.426,486.634,558.544,744.522,684.606
N=7168,119.005,217.228,301.096,409.890,597.054,725.014,1030.774,1060.643,994.881
N=8192,202.246,291.233,457.021,680.623,853.471,1354.415,1448.701,1450.996,1403.881
