,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=256,1.614,1.881,2.050,2.385,2.692,2.981,3.222,3.363,3.496
N=512,2.988,3.836,4.772,5.930,7.253,8.473,9.393,6.560,6.658
N=768,4.639,6.559,8.808,11.149,9.074,10.467,11.577,9.921,10.033
N=1024,6.913,10.521,14.264,12.045,14.600,13.308,14.731,13.224,13.512
N=1280,9.435,14.835,20.365,16.737,16.005,18.635,17.596,16.700,16.744
N=1536,12.507,20.281,18.055,18.112,18.689,21.580,21.786,21.123,19.645
N=1792,15.542,25.696,22.626,22.726,24.089,25.314,25.722,24.903,23.838
N=2048,19.826,21.241,22.501,24.415,27.204,29.804,30.885,31.933,30.595
