,d=10.00%,d=20.00%,d=30.00%,d=40.00%,d=50.00%,d=60.00%,d=70.00%,d=80.00%,d=90.00%
N=256,1.609,1.844,2.074,2.406,2.678,2.965,3.219,3.359,3.462
N=512,2.992,3.875,4.769,5.929,7.272,8.388,9.398,6.572,6.656
N=768,4.587,6.624,8.888,11.154,9.180,10.461,11.582,9.798,9.955
N=1024,6.886,10.403,14.235,11.908,14.456,13.165,14.561,13.223,13.378
N=1280,9.530,14.665,20.367,16.713,16.001,18.613,17.558,16.673,16.745
N=1536,12.512,20.256,18.304,17.905,18.675,21.586,21.773,20.858,19.403
N=1792,15.594,25.683,22.667,22.470,23.719,25.016,25.661,25.041,23.796
N=2048,19.817,21.209,22.504,24.372,27.534,29.424,30.938,31.322,30.601
